themes,projet,section,title,contenu,author,type,created_at,updated_at,id
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Causes,la liberté du commerce ne peut pas s'appliquer de la même manière pour les produits agricoles que pour les autres marchandises.,"c'est un des mauvais pas qui ont mené à la disqualification des productions
agricoles (heureusement pas toutes mais en tonnage la plus importante part) en
terme de propriétés organoleptiques et de teneur en nutriments.

",Marc Benkemoun,pour,2017-08-21T14:34:45+0200,2017-08-21T14:34:45+0200,1d883e45-866d-11e7-92ee-fa163e947a7a
Consommation,Comment favoriser l’accès du plus grand nombre à une alimentation suffisante et saine ?,Causes,Créons une TVA équitable à taux réduit sur les produits bio dès 2018 pour les rendre plus accessibles et dynamiser le développement de la filière en toute équité !,"Il y a déjà un taux réduit de TVA pour les produits de 1ère nécessité :
http://bofip.impots.gouv.fr/bofip/7204-PGP Biocoop devrait préciser sa
proposition afin qu'elel soit plus sérieuse : produits bio : 5,5 % et
conventionnel : 10 % ou bio 0 % et conventionnel 5 %. Sans doute la 2ème pour
ne pas provoquer de réaction ""de la masse des citoyens"" (augmentation
alimentation). Mais alors avec 0 %, sachant que TVA est une des principales
ressources de l'Etat on finance l'Etat comment (au fur et a mesure que le bio
augmente, les recette publiques baissent): en augmentant les impôts, les
taxes.

",dangers,contre,2017-08-28T13:22:02+0200,2017-08-28T13:22:02+0200,1d89f362-8be3-11e7-92ee-fa163e947a7a
Consommation,Comment renforcer la sécurité sanitaire de l'alimentation ?,Solutions,"Renforcer les lieux d’échanges et de débat entre services de l’Etat, professionnels et consommateurs","Cette propre consultation internet devrait être ouverte toute l'année et
contient déjà bien plus d'information que tous les rapports jamais émis par
des Conseils. Les Conseils Nationaux ne sont pas de vraies plate-formes
d'échanges citoyens, et semblent investis par des industriels, ou des
personnes en lien avec l'industrie et des intérêts privés, et non de vrais
citoyens.

",bocet,contre,2017-08-12T11:17:50+0200,2017-08-13T21:57:23+0200,1d8db553-7f3f-11e7-92ee-fa163e947a7a
Exportation / International,Comment valoriser le modèle alimentaire français ?,Problème,Le modèle alimentaire français n’est pas suffisamment valorisé,"Certes, la gastronomie française est riche, mais je n'ai pas l'impression
qu'il y ait UN modèle alimentaire français, mais DES pratiques alimentaires
qui évoluent avec le temps, elles-mêmes liées à ce que proposent les filières
agricoles, les distributeurs... L'enjeu ne serait-il pas de définir ce que
nous voulons idéalement pour nous et ceux qui viendrons après nous en France
pour nous nourrir: manger sainement de bons produits, en quantité suffisante,
sur la base d'une gastronomie riche et variée? Ensuite, définir comment
transmettre ces bonne pratiques et les valoriser auprès du plus grand nombre?

",Mackof,contre,2017-07-23T16:35:03+0200,2017-07-23T16:35:03+0200,1d9090cc-6fb4-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Problème,Le revenu des agriculteurs ne cesse de diminuer,"tous les agriculteurs ne sont pas logés à la même enseigne en terme de
revenus.Les producteurs laitiers ,les éleveurs etc... voient la dégringolade
de leurs revenus alors que les gros céréaliers s'en sortent haut la main.

",mosser,pour,2017-07-20T23:26:38+0200,2017-07-20T23:26:38+0200,1db2b97b-6d92-11e7-92ee-fa163e947a7a
Production et distribution,Comment mieux intégrer la réalité des coûts de production ?,Problème,Les coûts de production augmentent mais pas les prix,"Pour les produits alimentaires constitués d'un seul ingrédient (fruits,
légumes, lait, oeufs...), fixer un pourcentage minimal correspondant à la part
revenant au producteur.

",Minipouss,pour,2017-08-24T19:03:13+0200,2017-08-24T19:03:13+0200,1db840cd-88ee-11e7-92ee-fa163e947a7a
Consommation,Comment soutenir des modes de consommation plus responsables ?,Causes,Informer les gens sur la catastrophe planétaire dûe à l'élevage intensif!,"madame a lu des livre et est allé sur internet et se dit tout savoir!
l'élevage intensif n'existe pas en France!!!!!! ouvrez les yeux!

",Baptiste Menon,contre,2017-08-29T12:37:54+0200,2017-08-29T12:37:54+0200,1dbd4e8c-8ca6-11e7-92ee-fa163e947a7a
Consommation,Comment mieux informer les consommateurs ?,Solutions,"Intégrer et afficher les coûts sociaux, environnementaux, santé","Dans le prolongement de cette idée, mettre en place une ""carte vitale
environnement"". Attribuer des points aux produits bénéfiques ( label officiels
etc...) par exemple de 1 à 10, facilement identifiable dans les rayons. Donner
à consommateur l'outil pour agir (la carte) lui permettant de cumuler des
points en fonction de ses achats. Convertir ces points en crédit d'impôt. Au
final le système permet de donner une valeur aux produits que l'on souhaite
voir développer, de donner au citoyen la possibilité de se former et d'être
compensé par son acte citoyen

",DELANGLE,pour,2017-07-25T09:51:49+0200,2017-07-25T09:51:49+0200,1dc77ffb-710e-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Causes,Les agriculteurs doivent vivre de leur production et non pas des subventions,"Vivre dignement de sa production, oui ! S'alimenter correctement aussi ! C'est
très difficile aujourd'hui si l'on ne fait pas partie de la classe des nantis.
Des subventions publiques peuvent continuer à soutenir une agriculture
intelligente et durable face aux modèles productiviste nocifs pour l'homme, sa
santé, la planète et l'ensemble des êtres vivants. Ces subventions doivent
toutefois être dégressives : ne pas favoriser les plus gros exploitants au
risque de perpétuer le modèle de manne financière pour certains (qui ne
remplissent même pas les critères de décence de production) et les béquilles
bancales et insuffisantes pour les autres (qui tendent à produire avec moins
d'intrants chimique et plus de travail humain...). Il faut bien sûr valoriser
le travail agricole, surtout celui qui améliore la santé et des hommes et des
sols. Mais cela n'a pas à passer uniquement par le prix de vente au
consommateur, des mécanismes mixtes peuvent être mobilisés.

",Ari,contre,2017-07-21T12:05:25+0200,2017-07-21T12:05:25+0200,1de06553-6dfc-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Solutions,Formation et coaching des agriculteurs,"Formation initiale et continue oui, à conditions que les programmes soient
définis avec la participation majoritaire des consommateurs. Quand au
coaching, stop au bling-bling et aux parasites! Il ya d'autres urgences:
http://aid97400.lautre.net/spip.php?article1535 .....

",TAGLIAFERRI Jean-Marc,contre,2017-07-23T16:42:13+0200,2017-07-23T16:42:13+0200,1de8b7cf-6fb5-11e7-92ee-fa163e947a7a
Exportation / International,"Comment accompagner la stratégie d’internationalisation de nos entreprises dans le respect des enjeux environnementaux, sociétaux et sanitaires ?",Causes,"Difficulté à faire valoir la prise en compte des critères sociaux, économiques et environnementaux dans les négociations commerciales internationales","C'est un point essentiel, qui n'est pas valable que pour l'alimentation, mais
qui l'est particulièrement pour les modes de production et de consommation
alimentaire. Ceux-ci sont fondamentalement rattachés à notre culture et à nos
modes de vie (impact sur les territoire, qualité de l'alimentation, impact
environnemental). L'incapacité à faire émerger ces enjeux de manière visible à
la fois pour les décideurs et les consommateurs rend tout débat autour des
prix et seulement des prix assez dérisoire. La question est plus large; elle
est celle du mode de vie que nous souhaitons, et donc seulement ensuite du
modèle économique qui pourra y répondre.

",Thibault,pour,2017-07-21T11:29:37+0200,2017-07-21T11:29:37+0200,1df9d04e-6df7-11e7-92ee-fa163e947a7a
Exportation / International,"Comment accompagner la stratégie d’internationalisation de nos entreprises dans le respect des enjeux environnementaux, sociétaux et sanitaires ?",Problème,La mondialisation s’accompagne parfois de conséquences négatives : le développement des échanges commerciaux de produits agricoles et alimentaires doit s’accompagner du respect des enjeux sociétaux.,"La mondialisation s'accompagne TOUJOURS de conséquences négatives (qu'on a le
droit de nier) : transport, intensification et spécialisation de certains pays
dans des denrées qui les mène à leur perte (le mal hollandais, ou les pays du
sud de l'europe), compétition au rabais (dumping social, fiscal et
écologique), accaparement des matières premières de continents entiers
(bonjour l'afrique, ici la france), extractivisme poussé à l'extrême et
exploitation humaine. Le respect des enjeux sociétaux doit primer sur le
montant de l'excédent commercial du secteur agroalimentaire.

",Ari,contre,2017-07-21T15:47:19+0200,2017-07-21T15:47:19+0200,1e0b7ea2-6e1b-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Causes,L'agriculteur a oublié l'observation des phénomènes naturels dans ses pratiques,"Huh, Nature =/= AIIié, tu sais même des VoIcans en Indonésie peut provoquer
famine et révoIution. Je vois pas en quoi c'est une entité aIIié, au mieux on
est symbiosié mais après...

",Billen Charles,contre,2017-07-25T03:18:07+0200,2017-07-25T03:18:07+0200,1e291662-70d7-11e7-92ee-fa163e947a7a
Consommation,Comment mieux informer les consommateurs ?,Solutions,huile de palme,"On ne va pas rajouter un truc de plus. Après on va signifier la présence de
lécithine de soja, de carraghénane, de sulfites,.... par un logo ? Le
nutriscore prend en compte les facteurs nuisibles dans une note globale et
simplifie l'analyse. https://fr.openfoodfacts.org/score-nutritionnel-france De
toute façon l'huile de palme n'est pas pire que d'autres au niveau
nutritionnel, interdire les huiles hydrogénées serait déjà plus cohérent.

",Beniben,contre,2017-08-03T11:50:00+0200,2017-08-05T22:00:17+0200,1e2bf7ca-7831-11e7-92ee-fa163e947a7a
Production et distribution,Comment mieux intégrer la réalité des coûts de production ?,Solutions,Réviser les itinéraires de production,"C'est le nerf de la guerre. Si les transports sont à leur coût légitime
(pollution, empreinte carbone, non-durabilité du modèle, dégradation du réseau
routier), l'alimentation locale/française devient beaucoup plus compétitive.
(pénalité à l'export, mais ça c'est un modèle à choisir) Néanmoins, la
difficulté se situe au niveau international : comment répercuter ces coûts sur
les transports non légiférés par la France ?

",Kaloo,pour,2017-07-29T16:13:38+0200,2017-07-29T16:13:38+0200,1e3e6e12-7468-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Causes,Repenser l’enseignement de l’agriculture,"oui, je partage et regrette le constat du très peu de mixité sociale dans les
lycées agricoles. Les générations futures auraient à y gagner en ouverture et
vice versa !

",anne marie lagoutte,pour,2017-08-08T18:24:57+0200,2017-08-08T18:24:57+0200,1e5b0604-7c56-11e7-92ee-fa163e947a7a
Exportation / International,"Comment accompagner la stratégie d’internationalisation de nos entreprises dans le respect des enjeux environnementaux, sociétaux et sanitaires ?",Causes,"Difficulté à faire valoir la prise en compte des critères sociaux, économiques et environnementaux dans les négociations commerciales internationales","Dans le Monde, deux mouvements y aident : (i) les exigences qualitatives des
marchés importateurs européens et des politiques agricoles européennes à forte
dimension de transition agro-écologique et (ii) avec cette exemplarité
européenne, des appuis renforcés aux politiques agricoles dans les PED.

",jlf,pour,2017-07-22T12:04:14+0200,2017-07-22T12:04:14+0200,1e5d1d1c-6ec5-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Causes,Des modes de production insuffisamment accompagnés,"Suite à mon argument du 02/08/17 : L’actualité va malheureusement me permettre
d’aborder un cas concret concernant notre sujet ! L’alerte « Fipronil » a
maintenant largement passé le stade de la crise. Elle est actuellement en
première ligne des médias. Bien que cette ""substance chimique"" soit «
modérément à risque » (on se pose quand même quelques questions concernant nos
enfants) et concerne des produits antiparasitaires « naturels » à base de
plantes falsifiées (prépare-t-on là encore une charge contre le BIO ?), celle-
ci n’en reste pas moins une substance dont la circulation dans l’environnement
est largement légitimée par un certain nombre d’organisations
(gouvernementales, non gouvernementales et filières de production). Ces
organisations devraient assumer je pense les dérapages des maîtrises dans la
circulation et l’utilisation de leurs substances. Ce n’est en effet ni au
contribuable mal informé, ni à l’agriculteur BIO largement responsable, de
payer les conséquences de ces pertes de maîtrise. Il faudrait décidément et
définitivement que les mécaniques politiques soient en place pour que le
pollueur paye réellement les conséquences de ses actes, mais également, que
les filières et organisations payent les conséquences de leurs prises de
risques. Cette argent serait alors disponible pour le développement des
filières responsables plus vulnérables ! Petite question aux experts de
l’ANSES qui doivent certainement suivre le contenu de cette consultation : En
fixant la LMR de cette substance pour son usage dans les filières de
production alimentaire, a-t-on pris en compte en plus du panier moyen du
consommateur, les risques liés à la présence du fipronil dans
l’antiparasitaire utilisé contre les puces du chat, se grattant sur la table
de la cuisine ? Surtout lorsque votre enfant vient le caresser juste avant de
passer à table !

",stéphélhermiantoisam,pour,2017-08-11T10:21:47+0200,2017-08-20T21:46:23+0200,1ea04e6a-7e6e-11e7-92ee-fa163e947a7a
Production et distribution,Comment mieux intégrer la réalité des coûts de production ?,Solutions,Végétaliser l'agriculture réduirait les investissements à long terme et donc les coûts de production,"Cela permettrait également d'éviter bien des souffrances et la mort infligés à
des animaux par millions chaque année.

",Benoît,pour,2017-08-27T09:12:42+0200,2017-08-27T09:12:42+0200,1eb4a354-8af7-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Causes,Une concurrence internationale intense,"Il faut arrêter de vouloir à tout prix exporter alors que nous sommes
déficitaires dans plein de domaine... Exemple : on exporte péniblement 1500
tonnes de miel par an alors que nous en faisons venir 30000 tonnes... Il faut
favoriser la diversité de production ! Essayons d'être autonome en
protéines...

",EO86,pour,2017-07-20T12:06:37+0200,2017-07-20T12:06:37+0200,1ec0df49-6d33-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Solutions,Prolonger et amplifier le programme Ambition bio,"Le bilan réel de l'impact du ""programme"" de la précédente période est bien
faible car peu mis en œuvre en région. L'attrait de la bio et l'accroissement
des chiffres du nombre de producteurs et des surfaces n'y est que peu lié, et
les ""cafouillages"" de gestion des aides conversion et maintien n'ont pas aidé.
Sans parler des arbitrages pour enveloppes insuffisantes. Tout le monde attend
un vrai Plan qui ait les moyens de ses ambitions.

",Marianne,pour,2017-07-26T12:56:47+0200,2017-07-26T12:56:47+0200,1ee9f76f-71f1-11e7-92ee-fa163e947a7a
Consommation,Comment favoriser l’accès du plus grand nombre à une alimentation suffisante et saine ?,Causes,"Le prix, premier critère de choix alimentaire","il faut aussi et surtout que le prix soit transparent. Car en l'état actuel,
prix bas est souvent synonyme de 4eme catégorie (ceux qui sont bourrés
d'additif et ont perdu toutes leurs valeurs nutritives).

",romyetbrume,pour,2017-07-22T19:28:04+0200,2017-07-22T19:28:04+0200,1ef24a19-6f03-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Causes,Former des chômeurs volontaires pour produire du bio localement,"redescendez sur terre l'agriculture peine a recruter de la main d'oeuvre de
part sa penibilité et vous voudriez convaincre des chomeurs (payés plus à ne
pas travailler qu'un paysan moyen qui travaille)???

",alaferme,contre,2017-07-20T19:51:55+0200,2017-07-20T19:51:55+0200,1ef546ee-6d74-11e7-92ee-fa163e947a7a
Consommation,Comment soutenir des modes de consommation plus responsables ?,Causes,Les animaux sont des êtres conscients pas des aliments,"@ paysanne, les éleveurs regardaient-ils dans les yeux leurs animaux à
l'époque où ils les tuaient eux-mêmes ? Des animaux avec qui ils ont partagé
de longues journées, de longs mois en leur compagnie, en apprenant à les
connaître, à les distinguer, parfois en leur donnant des noms, en
reconnaissant leurs habitudes, leurs affinités, leurs liens sociaux entre eux,
etc... Des animaux qui parfois les ont fait rire, pour lesquels ils ont
éprouvé de la compassion quand ils étaient malades ou tristes, et qu'ils
étaient heureux de retrouver avec une allure plus dynamique et un oeil plus
vivant alors qu'ils allaient mieux quelques jours plus tard ? N'y a -t-il pas
moyen de valoriser l'élevage autrement qu'à des fins alimentaires qui ne sont
pas justifiées et nécessaires d'un point de vue nutritionnel ?

",bocet,pour,2017-08-14T12:19:56+0200,2017-08-14T12:25:20+0200,1ef7d753-80da-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Problème,Les nouveaux modes de production se développent mais peinent à suivre la demande en forte croissance,"Le soutien par des aides existe mais il peine à suivre le rythme et risque
d'être globalement insuffisant, c'est une évolution beaucoup plus profonde des
mentalités qu'il faut engager : un changement de paradigme que les
agriculteurs globalement âgés ne sont pas prêts à engager et c'est un peu
normal car oui il y a des risques et cela demande une formation complètement
différente de la leur, ainsi que des structures commerciales, coopératives,
qui suivent ; donc c'est sur ces leviers qu'il faut agir : la formation des
jeunes au concept d'agro-écologie qui devrait être la norme ne fait que
commencer, le mode de production bio devrait être enseigné de façon beaucoup
plus systématique, la formation continue des agriculteurs renforcée pour les
encourager à tester au moins sur une partie de leur exploitation ces nouvelles
façons de produire. Et y prendre goût.

",LuLu Blue,pour,2017-08-28T23:30:31+0200,2017-08-28T23:30:31+0200,1efc8014-8c38-11e7-92ee-fa163e947a7a
Consommation,Comment renforcer la sécurité sanitaire de l'alimentation ?,Problème,Les crises alimentaires successives des dernières années ont fortement fragilisé la confiance des consommateurs vis-à-vis de l’industrie agroalimentaire,"Personnellement, ce ne sont pas les défauts d'hygiène qui me font peur. Ce
sont plutôt les additifs, dont les effets sur la santé/l'environnement n'ont
pas été testés, et dont l'industrie agroalimentaire abuse dans un but purement
marketing (couleur, goût, conservation au delà du nécessaire).

",MLo,pour,2017-08-02T11:36:54+0200,2017-08-02T11:36:54+0200,1f0602f6-7766-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Solutions,Permettre aux fermes agroécologiques de bénéficier d’aides à l’emploi,"Depuis la PAC, le développement agricole est basé sur un prix faible des
aliments (pour permettre l'achat des des produits manufacturés et polluants).
La course aux prix bas est une des origines des dérives vers l'agriculture
chimique.

",GOHIER,pour,2017-08-08T11:15:28+0200,2017-08-08T11:15:28+0200,1f0f0a73-7c1a-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Problème,Le revenu des agriculteurs ne cesse de diminuer,"Il faudra donc que toutes les parties, simples citoyens mais aussi
associations de consommateurs et de défense de l’environnement comprises,
participent à l’élaboration de cette solution politique. Celle-ci ne pourra
garder le système en place : il a prouvé qu’il nous mène dans le mur. Il
faudra donc réfléchir ensemble à ce que nous voulons avoir à disposition pour
nous nourrir (quoi), par qui, comment (méthodes de production), où (faut-il
faire pousser PARTOUT du maïs en France?), de quelle manière sera distribuée
la nourriture (90 % des famines ne sont pas le fait de sous-productions à
l’échelle mondiale mais de problèmes politiques de distribution), de la façon
dont chacun pourra participer à la richesse nutritive de la nation (salaire,
jardin, communautés agricoles, etc), bref à la façon dont TOUTE la société
sera réorganisée. À ce sujet, il faut rappeler aux participants à la
consultation que celle-ci est organisée par un gouvernement choisi par un
président (eh oui, c’est la Vème République !), lui-même (mal) élu par très
peu de Français. Or SEUL UN candidat, un certain François Asselineau (upr.fr)
avait au moment de l’élection présidentielle proposé une sortie légale et
immédiate de la construction européenne actuelle qui contraint le gouvernement
à ne gouverner que dans des limites étroites et qui expliquent un grand nombre
des observations relevées dans les commentaires : « concurrence libre et non
faussée » (en fait fondamentalement biaisée en faveur des multinationales et
des pays extérieurs à l’Europe), entraînant des courses aux gigantisme (ferme
des mille vaches), aux subventions détruisant l’économie de subsistance des
pays d’Afrique, au toujours-plus normatif (contre les productions locales
naturelles, mais pas contres les bénéfices des industriels des «
phytosanitaires »!), ultra-libéralisme.

",Philippe Lebourg,contre,2017-07-22T18:23:39+0200,2017-07-22T18:23:39+0200,1f1ecdb8-6efa-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Problème,Les nouveaux modes de production se développent mais peinent à suivre la demande en forte croissance,"Stop aux oppositions entre systèmes Il faut travailler en symbioses entre
systèmes le Bio apporte des pistes agronomiques intéressantes au système
conventionnel pour gérer une production vraiment durable aujourd'hui avec la
diminution des solutions de protection chimique nombre de producteurs ont des
rotations plus longues avec des espèces botaniques différentes pour ""couper""
le cycle des ravageurs et des mauvaises herbes . les investissements sont
avant tout de volonté et intellectuel . Pour aller sur une production bio il
faut s'y préparer aussi bien sur le plan technique qu'anticiper un changement
sur l'exploitation une bonne conversion réussie demande du temps et de la
réflexion et sur les raisons qui poussent à ce changement .Que cela ne soit
pas pour une aide ""ponctuelle"" financière il faut structurer son système de
production et trouver et assurer le débouché de toutes ses productions et les
circuits court n'assurent pas tout donc tous les systèmes sont à préserver

",pga,contre,2017-07-27T16:51:49+0200,2017-07-27T16:51:49+0200,1f2e2753-72db-11e7-92ee-fa163e947a7a
Consommation,Comment soutenir des modes de consommation plus responsables ?,Causes,interdire les repas végans dans les cantines,"Au lieu de passer par les cantines et l'obligation qui en résulte pourquoi les
parents végan (ou les tata/tonton - grand parents) n'invitent-ils pas les
copains de leurs enfants ? ....... Pourquoi faut-il passer par la cantine ?
C'est pour s'inspirer de la démarche bio qui à besoin de marché durable ?
......... Bravo à ""paysanne"" : éleveuse bio si j'ai bien compris de contre
argumenter sur les végans. Cela peut ouvrir les yeux à ceux qui s'interrogent
.............. En terme de société on voit tous les dangers de ces obligations
de suivre des idéologies : le nationalisme en Inde et les violences contre les
non hindous pratiquants dans certains Etat, sans oublier la charia. Espérons
que les excès de l'argumentaire Vegan feront réagir la grande masse de la
société pour que la liberté soit conservées et que les donateurs privés
arrêterons de financer L214 (avec des responsables qui ont flairé le bon
fillon) . A noter que c'est le déficit de l'Etat qui finance (déduction
fiscale 66 %) de fait L214 !

",dangers,pour,2017-08-29T13:13:44+0200,2017-08-29T13:13:44+0200,1f356d5a-8cab-11e7-92ee-fa163e947a7a
Consommation,Comment soutenir des modes de consommation plus responsables ?,Causes,restauration collective,"introduire une alternative végétarienne dans les cantines ou si trop couteux
introduire 1 ou 2 jours par semaine des menus végétariens pour tous idem pour
les restaurants de collectivités locales ou des alternatives protéines
végétales sont rarement prévues

",Agnès75,pour,2017-07-22T13:44:29+0200,2017-07-22T13:44:29+0200,1f3f35fa-6ed3-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Causes,revenir à une multi-production,"et pourtant y'a de plus en plus d'agriculteurs qui se diversifie, produit et
transforme de A-Z en circuit-cours font du lait transforme en yaourt,
fromage... ou d'autres sur le cochon, transforme en charcuterie, rôti de porc
et sans sorte mieux

",nath_35,pour,2017-07-26T21:17:52+0200,2017-07-26T21:17:52+0200,1f41fe2b-7237-11e7-92ee-fa163e947a7a
Production et distribution,Comment accompagner la transformation de notre agriculture  ?,Causes,Des modes de production insuffisamment accompagnés,"Notons au passage que bien que ""sans risque"", selon le communiqué de Press du
ministère de l'agriculture de ce jour, le fipronil n'a pas de LMR pour les
oeufs et la viande de volaille ! Où est l'erreur ?

",stéphélhermiantoisam,pour,2017-08-11T21:27:32+0200,2017-08-11T21:27:32+0200,1f546413-7ecb-11e7-92ee-fa163e947a7a
Consommation,Comment mieux informer les consommateurs ?,Problème,Les informations relatives à la qualité des aliments (notamment l’emballage des produits) et à l’alimentation ne correspondent pas forcément à ce qu’attendent désormais les consommateurs,"Les étiquettes figurant sur les emballages des produits sont bien trop souvent
illisibles pour que l'on puisse en déterminer la composition exacte, en
particulier pour les produits contenant des aditifs. D'ailleurs, il conviendra
d'interdire l'usage de ces aditifs qui sont potentiellement nEfaste pour la
santé. Il faudra veiller à ce que la composition des produits soient
clairement lisible par tous et que la mention des ingrédients soient
comprésibles par tous (plus de E---). Aucune mention publicitaire ne devrait
être autorisée, seulement des indications quant à la qualité des
produits/ingrédients et leur région de production.

",BioPower26,pour,2017-07-21T16:08:50+0200,2017-07-21T16:08:50+0200,1f7fa4cf-6e1e-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Solutions,Fonctionnariser les agriculteurs qui le souhaitent selon une charte d'agriculture biologique et végétale,"@ perrine, personne ne parle d'interdit. Nous parlons de l'agriculture
optimale pour la santé et pour l'environnemnent. Comme le tabac n'est pas
interdit, les mauvais aliments que sont le lait, la viande et autres produits
animaux ne sont pas interdits. Mais il convient d'informer mieux la population
et de mieux éduquer la profession agricole, et celle des médecins également à
une alimentation saine, végétale à base d'aliments complets.

",bocet,pour,2017-08-30T00:33:47+0200,2017-08-30T00:33:47+0200,1f88e96d-8d0a-11e7-92ee-fa163e947a7a
Consommation,Comment mieux informer les consommateurs ?,Causes,La surabondance d’informations sur l’emballage,"Les informations essentielles quant à la naturalité des ingrédients n est pas
suffisamment visible . Quant aux qualités nutritionnelles on en est encore qu
à catégoriser les graisses les protéines et les sucres sans différencier les
bonnes et les mauvaises . Ce n est pas le gras qui est mauvais mais la fevon
font il est fabriqué . Idem pour les glucides il y a ceux à courte chaîne et
raffinés qui sont en excès mais bien d autres glucides essentiels sont absents
sans que le consommateur ne puisse les distinguer . Il manque une
indispensable éducation nutritionnelle dès l enfance et qui devrait être une
matière éducative à part entière à l école primaire .

",Ghislaine Gerber,pour,2017-07-23T15:02:03+0200,2017-07-23T15:02:03+0200,1f924767-6fa7-11e7-92ee-fa163e947a7a
Consommation,Comment mieux informer les consommateurs ?,Solutions,Créer une plateforme officielle recensant tous les labels certifiés,"Genre le site de l'INAO qui existe déjà ?

",Noxolo,contre,2017-07-31T09:08:58+0200,2017-07-31T09:08:58+0200,1f9b052e-75bf-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Causes,Limiter les dépenses des agriculteurs,"en tant que chef d'entreprise nous achetons nos outils de travail et on n'a
pas le choix. Il nous faut du matériel performant donc très (trop
certainement) cher. les constructeurs et les concessionnaires ne se privent
pas d'augmenter leurs tarifs quand il y a une bonne récolte mais on ne voit
jamais de baisse. la banque agricole est frileuse.

",lamondumich,contre,2017-07-26T22:15:09+0200,2017-07-26T22:15:09+0200,1f9bb19b-723f-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Solutions,"Mettre en place des paiements prenant en compte la dimension économique, sociale et environnementale","Evidemment prendre en compte des ""valeurs"" qui ne soient pas uniquement
monétaires, financières ou celles du capital. Au niveau environnemental, des
primes sont données par exemple au maïs ensilé, qui produit un effet
dévastateur à ce niveau = captation d'eau d'irrigation, production avec le
plus souvent des intrants de synthèse (engrais, pesticides) et une grosse
mécanisation donc avec de l'énergie fossile, des sols stérilisés alors que
l'herbe produit naturel et peu coûteux, donnant un produit de grande qualité,
est délaissée. Au niveau social, l'emploi est la dixième roue d'une charrette
qui n'en peut plus. A quand des primes PAC à l'actif. Ne plus considérer que
celui qui mène une exploitation de x centaines hectares tout seul doit avoir
des aides. Au contraire, il est souvent destructeur de l'environnement, de
l'emploi, de son territoire et indirectement de la filière dont il fait
partie, puisqu'il abandonne le pouvoir sur celle-ci.

",Ghio,pour,2017-08-28T11:06:05+0200,2017-08-28T11:06:05+0200,1faadb70-8bd0-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Causes,Des normes plus ou moins exigeantes et d’application inégale,"La norme est nécessaire puisqu'elle offre un référentiel commun. Elle est
censé être une garantie pour le consommateur, en matière sanitaire,
environnementale, sociale. Le problème en revanche vient du fait que par une
norme franco-française (souvent surtransposée du texte européen), on interdise
une pratique en France tout en continuant à importer des produits d'origine
étrangère qui continuent cette pratique. Si une molécule est cancérigène pour
le consommateur français, et qu'on en interdit l'usage aux agriculteurs
français, alors pourquoi n'en interdit-on pas l'importation ? Un seul exemple
: nous sommes le seul pays en Europe à avoir interdit le nifursol pour le
traitement d'une maladie infectieuse appelée Histomonose dans les élevages de
dindes. Je précise que c'était le seul traitement existant. Résultat : en
France quand un élevage est touché, c'est abattage direct. A-t-on pour autant
arrêté d'importer de la dinde allemande ou polonaise (que l'on retrouve
largement sur les tables de nos chers têtes blondes dans les cantines
scolaires) ? NON et c'est ça qui est insupportable. On peut vouloir être plus
vertueux que les autres. Mais mourir vertueux ne résoudra rien au problème.

",fruchet,pour,2017-08-01T10:40:50+0200,2017-08-01T10:43:21+0200,1fb8c71c-7695-11e7-92ee-fa163e947a7a
Production et distribution,Comment rémunérer plus équitablement les producteurs ?,Solutions,Préparer la politique agricole commune (PAC) post 2020,"A réformer certes, mais sans concessions aux lobbys...

",Sophie,pour,2017-07-24T14:25:05+0200,2017-07-24T14:25:05+0200,1ff1f5f7-706b-11e7-92ee-fa163e947a7a
